Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
63,64.17%,gpt-oss-20b LoRA ckpt560-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,78.58%,67.67%,89.50%,0.00%,0.00%,78.64%,80.62%,78.16%,0.00%,0.00%,40.75%,49.50%,34.50%,40.00%,39.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.13%,N/A,N/A,OpenAI,apache-2.0
64,64.12%,gpt-oss-20b LoRA ckpt280-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,80.12%,71.25%,89.00%,0.00%,0.00%,78.03%,83.72%,76.64%,0.00%,0.00%,39.00%,48.00%,33.00%,40.00%,35.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.44%,N/A,N/A,OpenAI,apache-2.0
65,64.07%,gpt-oss-20b LoRA ckpt240-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.88%,70.25%,89.50%,0.00%,0.00%,78.34%,83.72%,77.02%,0.00%,0.00%,38.62%,47.00%,35.00%,37.00%,35.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,84.89%,N/A,N/A,OpenAI,apache-2.0
66,63.94%,gpt-oss-20b LoRA ckpt480-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,77.79%,68.08%,87.50%,0.00%,0.00%,78.26%,79.07%,78.06%,0.00%,0.00%,40.62%,50.50%,32.00%,40.50%,39.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.38%,N/A,N/A,OpenAI,apache-2.0
67,63.89%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-simple-cot-only-answer-loss-apigen-only1-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,78.12%,68.25%,88.00%,0.00%,0.00%,79.25%,81.78%,78.63%,0.00%,0.00%,40.25%,48.50%,34.50%,38.50%,39.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,81.55%,N/A,N/A,OpenAI,apache-2.0
68,63.57%,gpt-oss-20b LoRA ckpt790-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,80.08%,68.17%,92.00%,0.00%,0.00%,78.72%,84.50%,77.30%,0.00%,0.00%,39.25%,50.00%,27.50%,40.00%,39.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,80.54%,N/A,N/A,OpenAI,apache-2.0
69,63.51%,gpt-oss-20b LoRA ckpt40-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,76.29%,65.08%,87.50%,0.00%,0.00%,76.58%,80.62%,75.59%,0.00%,0.00%,40.38%,48.50%,34.50%,39.00%,39.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.93%,N/A,N/A,OpenAI,apache-2.0
70,63.46%,gpt-oss-20b LoRA ckpt40-5epoch-v6data-simple-cot-only-answer-loss-A-method-2-1-2-64-128-256-lr5e-7-40,self,N/A,N/A,N/A,N/A,76.62%,66.75%,86.50%,0.00%,0.00%,76.58%,81.01%,75.50%,0.00%,0.00%,39.75%,46.50%,34.50%,36.00%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,84.59%,N/A,N/A,OpenAI,apache-2.0
71,63.40%,gpt-oss-20b LoRA ckpt40-5epoch-v6data-apigen-only1-lr5e-7,self,N/A,N/A,N/A,N/A,76.25%,65.00%,87.50%,0.00%,0.00%,76.51%,79.46%,75.78%,0.00%,0.00%,39.88%,45.50%,35.00%,38.50%,40.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,84.49%,N/A,N/A,OpenAI,apache-2.0
72,63.35%,gpt-oss-20b LoRA ckpt40-5epoch-v6data-original1-simple-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,76.92%,66.83%,87.00%,0.00%,0.00%,76.13%,80.62%,75.02%,0.00%,0.00%,39.75%,46.50%,39.00%,37.50%,36.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.19%,N/A,N/A,OpenAI,apache-2.0
73,63.07%,gpt-oss-20b LoRA ckpt40-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,75.58%,64.67%,86.50%,0.00%,0.00%,75.67%,81.40%,74.26%,0.00%,0.00%,39.50%,46.50%,35.50%,39.00%,37.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,85.12%,N/A,N/A,OpenAI,apache-2.0
74,63.06%,gpt-oss-20b LoRA ckpt295-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.58%,70.17%,89.00%,0.00%,0.00%,78.34%,84.88%,76.73%,0.00%,0.00%,36.50%,47.50%,29.00%,37.00%,32.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,84.36%,N/A,N/A,OpenAI,apache-2.0
75,62.94%,gpt-oss-20b LoRA ckpt200-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.75%,70.00%,87.50%,0.00%,0.00%,78.03%,82.56%,76.92%,0.00%,0.00%,35.88%,43.50%,27.50%,40.50%,32.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,86.18%,N/A,N/A,OpenAI,apache-2.0
76,62.66%,gpt-oss-20b LoRA ckpt80-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,77.54%,66.58%,88.50%,0.00%,0.00%,77.35%,82.56%,76.07%,0.00%,0.00%,36.25%,41.00%,35.00%,38.00%,31.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,85.89%,N/A,N/A,OpenAI,apache-2.0
77,62.55%,gpt-oss-20b LoRA ckpt120-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,75.50%,65.00%,86.00%,0.00%,0.00%,77.88%,83.72%,76.45%,0.00%,0.00%,36.75%,42.00%,34.50%,36.00%,34.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,85.86%,N/A,N/A,OpenAI,apache-2.0
78,62.35%,gpt-oss-20b LoRA ckpt80-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,75.88%,66.25%,85.50%,0.00%,0.00%,77.35%,81.01%,76.45%,0.00%,0.00%,37.38%,44.00%,33.50%,35.50%,36.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.77%,N/A,N/A,OpenAI,apache-2.0
79,62.18%,gpt-oss-20b LoRA ckpt160-5epoch-llamafactory-and-data-original-train-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.83%,69.67%,88.00%,0.00%,0.00%,79.02%,84.50%,77.68%,0.00%,0.00%,33.88%,39.50%,31.00%,35.00%,30.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,85.29%,N/A,N/A,OpenAI,apache-2.0
80,62.17%,gpt-oss-20b LoRA ckpt240-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.83%,70.67%,89.00%,0.00%,0.00%,77.65%,82.95%,76.35%,0.00%,0.00%,34.12%,44.00%,27.00%,34.50%,31.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,85.13%,N/A,N/A,OpenAI,apache-2.0
81,61.52%,gpt-oss-20b LoRA ckpt160-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.62%,70.75%,86.50%,0.00%,0.00%,77.80%,84.50%,76.16%,0.00%,0.00%,32.88%,40.00%,30.50%,32.50%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,85.44%,N/A,N/A,OpenAI,apache-2.0
82,61.46%,gpt-oss-20b LoRA ckpt120-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,77.00%,68.00%,86.00%,0.00%,0.00%,76.35%,81.40%,75.12%,0.00%,0.00%,34.12%,41.00%,30.00%,38.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,85.70%,N/A,N/A,OpenAI,apache-2.0
83,61.46%,Qwen3-8B (Prompt),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,89.10%,78.42%,95.00%,92.50%,90.50%,79.64%,82.95%,78.82%,87.50%,75.00%,28.00%,33.00%,36.00%,23.50%,19.50%,2.00%,1.00%,3.00%,13.98%,6.45%,11.61%,23.87%,75.00%,82.55%,20.0,5.32,Qwen,apache-2.0
84,61.18%,Gemma-4-31B-it(FC) LoRA ckpt40-5epoch-zhtw-v6-no-cot-A-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.17%,78.17%,95.50%,91.50%,87.50%,80.31%,79.46%,80.25%,93.75%,83.33%,47.00%,61.50%,33.50%,39.50%,53.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,43.44%,N/A,N/A,Google,gemma-terms-of-use
85,61.15%,gpt-oss-20b LoRA ckpt280-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.21%,69.92%,88.50%,0.00%,0.00%,77.80%,81.78%,76.83%,0.00%,0.00%,32.25%,39.50%,27.50%,35.00%,27.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.24%,N/A,N/A,OpenAI,apache-2.0
86,60.95%,Gemma-4-31B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-no-cot-B-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.15%,77.58%,96.00%,92.00%,87.00%,80.98%,81.01%,80.72%,93.75%,83.33%,44.75%,60.00%,31.00%,36.50%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,46.10%,N/A,N/A,Google,gemma-terms-of-use
87,60.78%,Gemma-4-31B-it(FC) LoRA ckpt120-5epoch-zhtw-v6-no-cot-B-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.00%,77.50%,96.00%,91.50%,87.00%,80.53%,81.78%,80.06%,87.50%,83.33%,45.62%,61.00%,33.00%,34.50%,54.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,44.12%,N/A,N/A,Google,gemma-terms-of-use
88,60.70%,Gemma-4-31B-it(FC) LoRA ckpt80-5epoch-zhtw-v6-no-cot-B-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.00%,77.50%,95.50%,91.50%,87.50%,80.38%,79.84%,80.25%,93.75%,83.33%,45.50%,60.50%,31.50%,34.00%,56.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,44.14%,N/A,N/A,Google,gemma-terms-of-use
89,60.69%,gpt-oss-20b LoRA ckpt375-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.75%,70.50%,89.00%,0.00%,0.00%,77.73%,82.17%,76.64%,0.00%,0.00%,31.63%,36.50%,32.00%,32.00%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.74%,N/A,N/A,OpenAI,apache-2.0
90,60.65%,Gemma-4-31B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-no-cot-C-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.25%,77.50%,96.00%,92.00%,87.50%,80.75%,81.01%,80.44%,93.75%,83.33%,44.12%,60.00%,31.50%,33.00%,52.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,46.01%,N/A,N/A,Google,gemma-terms-of-use
91,60.64%,Gemma-4-31B-it(FC) LoRA ckpt120-5epoch-zhtw-v6-no-cot-A-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.12%,77.50%,96.00%,91.50%,87.50%,80.83%,81.01%,80.53%,93.75%,83.33%,44.88%,61.00%,33.00%,33.00%,52.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,44.50%,N/A,N/A,Google,gemma-terms-of-use
92,60.61%,gpt-oss-20b LoRA ckpt360-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,80.08%,71.67%,88.50%,0.00%,0.00%,78.03%,82.95%,76.83%,0.00%,0.00%,30.25%,39.00%,24.50%,33.00%,24.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,84.42%,N/A,N/A,OpenAI,apache-2.0
93,60.56%,Gemma-4-31B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-no-cot-B-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.25%,77.50%,96.00%,92.00%,87.50%,80.75%,81.01%,80.44%,93.75%,83.33%,44.38%,60.00%,29.00%,33.00%,55.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,45.05%,N/A,N/A,Google,gemma-terms-of-use
94,60.54%,Gemma-4-31B-it(FC) LoRA ckpt40-5epoch-zhtw-v6-no-cot-C-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.04%,78.17%,95.50%,91.50%,87.00%,80.53%,80.23%,80.34%,93.75%,83.33%,45.13%,60.50%,31.00%,36.50%,52.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,43.87%,N/A,N/A,Google,gemma-terms-of-use
95,60.53%,Gemma-4-31B-it(FC) LoRA ckpt80-5epoch-zhtw-v6-no-cot-A-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.00%,77.50%,95.50%,91.50%,87.50%,80.53%,79.84%,80.44%,93.75%,83.33%,45.13%,60.00%,31.00%,36.00%,53.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,43.88%,N/A,N/A,Google,gemma-terms-of-use
96,60.47%,Gemma-4-31B-it(FC) LoRA ckpt80-5epoch-zhtw-v6-no-cot-C-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.12%,77.50%,95.50%,91.50%,88.00%,80.38%,79.84%,80.34%,87.50%,83.33%,44.88%,60.00%,32.50%,35.00%,52.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,44.08%,N/A,N/A,Google,gemma-terms-of-use
97,60.45%,Gemma-4-31B-it(FC) LoRA ckpt40-5epoch-zhtw-v6-no-cot-B-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.00%,77.50%,95.50%,91.50%,87.50%,80.24%,80.23%,80.06%,87.50%,83.33%,45.50%,63.00%,30.50%,37.50%,51.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,43.00%,N/A,N/A,Google,gemma-terms-of-use
98,60.24%,gpt-oss-20b LoRA ckpt320-5epoch-llamafactory-original-train-2-1-2-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.17%,69.33%,87.00%,0.00%,0.00%,77.96%,81.40%,77.11%,0.00%,0.00%,30.25%,40.50%,23.50%,31.50%,25.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,84.57%,N/A,N/A,OpenAI,apache-2.0
99,60.21%,Gemma-4-31B-it(FC) LoRA ckpt120-5epoch-zhtw-v6-no-cot-C-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.00%,77.50%,95.50%,91.50%,87.50%,80.75%,81.01%,80.44%,93.75%,83.33%,44.00%,60.50%,30.50%,31.50%,53.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,44.27%,N/A,N/A,Google,gemma-terms-of-use
100,60.11%,Gemma-4-31B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-no-cot-C-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.69%,78.25%,96.00%,92.00%,88.50%,81.27%,82.17%,80.82%,93.75%,83.33%,41.75%,56.50%,30.50%,32.00%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,47.07%,N/A,N/A,Google,gemma-terms-of-use
101,59.60%,Gemma-4-31B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-no-cot-A-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.37%,77.50%,96.00%,92.00%,88.00%,81.13%,81.78%,80.72%,93.75%,83.33%,41.50%,57.50%,31.00%,29.50%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,45.50%,N/A,N/A,Google,gemma-terms-of-use
102,59.52%,Gemma-4-31B-it(FC) LoRA ckpt200-5epoch-zhtw-v6-no-cot-C-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.27%,77.58%,96.00%,92.00%,87.50%,81.20%,81.78%,80.82%,93.75%,83.33%,41.38%,58.50%,31.00%,29.50%,46.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,45.39%,N/A,N/A,Google,gemma-terms-of-use
103,59.49%,Gemma-4-31B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-no-cot-A-method-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,88.12%,77.50%,96.00%,92.00%,87.00%,80.68%,81.01%,80.34%,93.75%,83.33%,41.87%,58.00%,31.00%,30.50%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,44.88%,N/A,N/A,Google,gemma-terms-of-use
104,58.98%,Gemma-4-31B-it(FC),self,N/A,N/A,N/A,N/A,87.60%,77.92%,95.50%,91.50%,85.50%,77.13%,77.91%,76.64%,93.75%,79.17%,43.38%,59.00%,30.00%,36.50%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,43.40%,N/A,N/A,Google,gemma-terms-of-use
105,58.47%,openai/gpt-oss-20b (FC) (vLLM),https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,64.42%,45.33%,83.50%,0.00%,0.00%,72.23%,75.58%,71.42%,0.00%,0.00%,34.00%,37.50%,34.50%,34.50%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,87.69%,N/A,N/A,OpenAI,apache-2.0
106,57.22%,Gemma-4-12B-it(FC) LoRA ckpt440-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,82.31%,76.75%,93.50%,77.00%,82.00%,80.01%,82.17%,79.96%,68.75%,66.67%,31.25%,47.00%,10.50%,26.50%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,61.29%,N/A,N/A,Google,gemma-terms-of-use
107,56.96%,Gemma-4-12B-it(FC) LoRA ckpt480-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,82.31%,76.75%,93.50%,77.00%,82.00%,80.16%,81.78%,80.25%,68.75%,66.67%,30.87%,47.50%,8.00%,27.00%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.55%,N/A,N/A,Google,gemma-terms-of-use
108,56.92%,Gemma-4-12B-it(FC) LoRA ckpt600-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,81.96%,77.33%,93.50%,76.50%,80.50%,80.09%,82.95%,79.87%,68.75%,66.67%,31.00%,46.00%,10.50%,26.50%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.55%,N/A,N/A,Google,gemma-terms-of-use
109,56.82%,Gemma-4-12B-it(FC) LoRA ckpt520-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,82.35%,77.42%,93.50%,77.50%,81.00%,80.01%,82.17%,79.96%,68.75%,66.67%,30.37%,47.50%,9.00%,24.00%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.99%,N/A,N/A,Google,gemma-terms-of-use
110,56.72%,Gemma-4-12B-it(FC) LoRA ckpt400-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,82.94%,77.25%,93.50%,78.50%,82.50%,80.24%,82.56%,80.06%,75.00%,66.67%,29.50%,47.00%,8.00%,26.00%,37.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,61.44%,N/A,N/A,Google,gemma-terms-of-use
111,56.67%,Gemma-4-12B-it(FC) LoRA ckpt560-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,81.92%,76.67%,93.50%,76.50%,81.00%,80.24%,82.17%,80.25%,68.75%,66.67%,30.25%,47.00%,8.00%,25.50%,40.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.71%,N/A,N/A,Google,gemma-terms-of-use
112,55.84%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,84.46%,77.83%,93.50%,82.00%,84.50%,80.24%,82.95%,79.87%,81.25%,66.67%,27.25%,40.50%,9.00%,23.00%,36.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.00%,N/A,N/A,Google,gemma-terms-of-use
113,55.34%,Mistral-Small-3.2-24B-Instruct-2506,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,N/A,N/A,N/A,N/A,72.81%,40.25%,93.00%,84.50%,73.50%,76.54%,69.38%,78.35%,75.00%,75.00%,19.25%,23.50%,14.00%,18.00%,21.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,88.83%,N/A,N/A,Mistral AI,Proprietary
114,55.09%,Gemma-4-12B-it(FC) LoRA ckpt560-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.10%,76.42%,93.50%,87.50%,87.00%,79.94%,81.40%,79.77%,81.25%,70.83%,23.25%,35.00%,8.00%,20.50%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,62.91%,N/A,N/A,Google,gemma-terms-of-use
115,54.98%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,85.04%,77.17%,93.50%,83.50%,86.00%,80.24%,83.72%,79.68%,81.25%,66.67%,24.75%,37.00%,9.00%,21.50%,31.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,60.12%,N/A,N/A,Google,gemma-terms-of-use
116,54.89%,Gemma-4-12B-it(FC) LoRA ckpt520-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.29%,77.17%,93.50%,88.00%,86.50%,80.46%,82.56%,80.15%,81.25%,70.83%,22.62%,34.00%,6.00%,20.00%,30.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,62.44%,N/A,N/A,Google,gemma-terms-of-use
117,54.81%,Gemma-4-12B-it(FC) LoRA ckpt400-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.62%,77.50%,94.00%,88.50%,86.50%,80.16%,81.78%,79.87%,81.25%,75.00%,22.38%,34.50%,6.50%,21.00%,27.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,62.50%,N/A,N/A,Google,gemma-terms-of-use
118,54.74%,Gemma-4-12B-it(FC) LoRA ckpt360-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.96%,78.83%,93.50%,88.50%,87.00%,80.16%,82.95%,79.68%,75.00%,75.00%,22.62%,34.00%,6.50%,19.50%,30.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,61.33%,N/A,N/A,Google,gemma-terms-of-use
119,54.70%,Gemma-4-12B-it(FC) LoRA ckpt620-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.29%,77.17%,93.50%,88.00%,86.50%,80.09%,82.17%,79.77%,81.25%,70.83%,22.00%,34.00%,6.50%,19.00%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,63.12%,N/A,N/A,Google,gemma-terms-of-use
120,54.69%,Gemma-4-12B-it(FC) LoRA ckpt600-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.54%,78.17%,93.50%,87.50%,87.00%,80.16%,81.78%,79.96%,81.25%,70.83%,22.50%,35.00%,7.00%,20.00%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,61.74%,N/A,N/A,Google,gemma-terms-of-use
121,54.68%,Gemma-4-12B-it(FC) LoRA ckpt480-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.25%,76.50%,93.50%,88.00%,87.00%,80.38%,82.56%,79.96%,81.25%,75.00%,22.12%,35.50%,6.50%,18.00%,28.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,62.54%,N/A,N/A,Google,gemma-terms-of-use
122,54.65%,Gemma-4-12B-it(FC) LoRA ckpt440-5epoch-zhtw-v6-10240-no-cot-A-method-2-1-2-apigen-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.23%,77.42%,93.50%,87.50%,86.50%,79.79%,82.56%,79.30%,81.25%,70.83%,22.25%,35.50%,5.50%,18.50%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,62.71%,N/A,N/A,Google,gemma-terms-of-use
123,54.58%,Gemma-4-12B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-parallel-l20p-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.58%,77.83%,93.50%,88.00%,87.00%,80.46%,83.33%,79.96%,81.25%,70.83%,22.75%,36.00%,8.00%,19.00%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,60.35%,N/A,N/A,Google,gemma-terms-of-use
124,54.56%,Gemma-4-12B-it(FC) LoRA ckpt280-5epoch-zhtw-v6-6144-no-cot-A-method-2-1-2-apigen-have-parallel-64-128-256-lr1e-6,self,N/A,N/A,N/A,N/A,86.81%,78.75%,93.50%,88.00%,87.00%,79.87%,82.56%,79.39%,75.00%,75.00%,21.88%,33.50%,8.50%,17.50%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,62.35%,N/A,N/A,Google,gemma-terms-of-use
