Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
62,50.44%,gpt-oss-20b LoRA ckpt840-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,72.79%,67.08%,78.50%,0.00%,0.00%,71.62%,72.09%,71.51%,0.00%,0.00%,14.75%,19.50%,15.00%,11.00%,13.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.50%,78.26%,N/A,N/A,OpenAI,apache-2.0
63,49.66%,CoALM-8B,https://huggingface.co/uiuc-convai/CoALM-8B,N/A,N/A,N/A,N/A,81.83%,70.17%,93.50%,88.00%,88.50%,66.82%,70.54%,65.91%,62.50%,54.17%,6.38%,7.00%,8.50%,5.50%,4.50%,0.00%,0.00%,0.00%,1.51%,2.58%,1.94%,0.00%,87.50%,86.91%,36.5,15.89,UIUC + Oumi,Meta Llama 3 Community
64,49.20%,gpt-oss-20b LoRA ckpt1075-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,37.79%,18.58%,57.00%,0.00%,0.00%,59.34%,38.76%,64.39%,0.00%,0.00%,29.88%,33.00%,34.00%,30.00%,22.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.50%,89.10%,N/A,N/A,OpenAI,apache-2.0
65,47.88%,gpt-oss-20b LoRA ckpt980-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,74.46%,67.92%,81.00%,0.00%,0.00%,69.79%,70.16%,69.71%,0.00%,0.00%,11.88%,13.50%,13.50%,11.00%,9.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75%,71.38%,N/A,N/A,OpenAI,apache-2.0
66,46.66%,Ministral-8B-Instruct-2410 (FC),https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,N/A,N/A,N/A,N/A,82.54%,73.08%,92.00%,84.50%,87.50%,72.46%,75.97%,71.60%,62.50%,70.83%,11.37%,20.50%,6.50%,9.50%,9.00%,0.00%,0.00%,0.00%,8.39%,10.97%,6.45%,7.74%,81.25%,55.54%,1.0,0.29,Mistral AI,Mistral AI Research License
67,45.66%,gpt-oss-20b LoRA ckpt1120-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,72.79%,66.08%,79.50%,0.00%,0.00%,69.41%,70.16%,69.23%,0.00%,0.00%,10.12%,11.00%,12.50%,9.00%,8.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,65.84%,N/A,N/A,OpenAI,apache-2.0
68,44.46%,gpt-oss-20b LoRA ckpt1260-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,73.79%,66.58%,81.00%,0.00%,0.00%,68.34%,67.83%,68.47%,0.00%,0.00%,9.62%,12.00%,10.00%,7.50%,9.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,60.89%,N/A,N/A,OpenAI,apache-2.0
69,43.40%,gpt-oss-20b LoRA ckpt1680-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,73.17%,65.33%,81.00%,0.00%,0.00%,67.96%,68.99%,67.71%,0.00%,0.00%,8.25%,7.50%,10.50%,9.50%,5.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,59.37%,N/A,N/A,OpenAI,apache-2.0
70,42.60%,gpt-oss-20b LoRA ckpt1400-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,73.71%,66.42%,81.00%,0.00%,0.00%,68.19%,67.83%,68.28%,0.00%,0.00%,7.12%,8.50%,9.00%,5.50%,5.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,56.87%,N/A,N/A,OpenAI,apache-2.0
71,42.43%,gpt-oss-20b LoRA ckpt1960-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,73.50%,66.50%,80.50%,0.00%,0.00%,68.12%,66.28%,68.57%,0.00%,0.00%,6.12%,6.50%,5.50%,8.00%,4.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,58.29%,N/A,N/A,OpenAI,apache-2.0
72,42.40%,gpt-oss-20b LoRA ckpt1820-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,74.42%,67.83%,81.00%,0.00%,0.00%,67.96%,70.16%,67.43%,0.00%,0.00%,7.50%,9.50%,9.50%,5.00%,6.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,54.60%,N/A,N/A,OpenAI,apache-2.0
73,42.26%,Llama-3.1-8B-Instruct (Prompt),https://llama.meta.com/llama3,N/A,N/A,N/A,N/A,83.58%,71.67%,95.50%,86.00%,83.00%,71.17%,72.48%,70.85%,56.25%,45.83%,7.25%,8.50%,6.50%,6.50%,7.50%,0.00%,0.00%,0.00%,12.04%,9.68%,7.10%,19.35%,93.75%,42.04%,35.0,13.91,Meta,Meta Llama 3 Community
74,41.95%,gpt-oss-20b LoRA ckpt1540-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,74.08%,67.67%,80.50%,0.00%,0.00%,67.35%,68.22%,67.14%,0.00%,0.00%,5.25%,6.00%,4.50%,6.50%,4.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,57.80%,N/A,N/A,OpenAI,apache-2.0
75,38.61%,Gemma-3-4b-it (Prompt),https://blog.google/technology/developers/gemma-3/,N/A,N/A,N/A,N/A,76.21%,64.42%,88.00%,53.50%,35.00%,61.17%,70.16%,58.97%,25.00%,37.50%,0.50%,0.50%,0.50%,0.50%,0.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00%,54.68%,67.0,23.03,Google,gemma-terms-of-use
76,28.33%,twinkle gemma-3-4B-T1-it,https://huggingface.co/twinkle-ai/gemma-3-4B-T1-it,N/A,N/A,N/A,N/A,16.21%,26.42%,6.00%,7.50%,1.50%,36.54%,36.05%,36.66%,56.25%,33.33%,9.50%,13.00%,11.00%,5.50%,8.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,69.88%,1.0,0.22,twinkle-ai,gemma-terms-of-use
77,24.18%,Llama-3.1-8B-Instruct (FC),https://llama.meta.com/llama3,N/A,N/A,N/A,N/A,54.46%,55.42%,53.50%,49.50%,34.50%,48.89%,51.94%,48.15%,31.25%,41.67%,6.38%,6.00%,7.50%,6.00%,6.00%,1.00%,1.00%,1.00%,15.48%,4.52%,12.26%,29.68%,100.00%,4.81%,N/A,N/A,Meta,Meta Llama 3 Community
